d3mIndex,RegionName,ZoneName,WoredaName,dateTime,Malnutrition_total_Cases
136,Oromia,Guji,Saba Boru,1/1/17,20
137,Oromia,Guji,Shakiso town,1/1/17,4
138,Oromia,Guji,Uraga,1/1/17,103
139,Oromia,Guji,Wadara,1/1/17,58
140,Oromia,Horo Gudru Wellega,Abay Chomen,1/1/17,0
141,Oromia,Horo Gudru Wellega,Abe Dengoro,1/1/17,1
142,Oromia,Horo Gudru Wellega,Amuru,1/1/17,7
143,Oromia,Horo Gudru Wellega,Gudru,1/1/17,1
144,Oromia,Horo Gudru Wellega,Hababo Guduru,1/1/17,1
145,Oromia,Horo Gudru Wellega,Horo,1/1/17,0
146,Oromia,Horo Gudru Wellega,Jarte Jardga,1/1/17,2
147,Oromia,Horo Gudru Wellega,Jima Geneti,1/1/17,2
148,Oromia,Horo Gudru Wellega,Jima Rare,1/1/17,5
149,Oromia,Horo Gudru Wellega,Shambu Town,1/1/17,13
150,Oromia,Ilu Aba Bora,Ale,1/1/17,0
151,Oromia,Ilu Aba Bora,Algesachi,1/1/17,1
152,Oromia,Ilu Aba Bora,Becho,1/1/17,0
153,Oromia,Ilu Aba Bora,Bilonopa,1/1/17,0
154,Oromia,Ilu Aba Bora,Bure,1/1/17,0
155,Oromia,Ilu Aba Bora,Darimu,1/1/17,6
156,Oromia,Ilu Aba Bora,Didu,1/1/17,4
157,Oromia,Ilu Aba Bora,Doreni,1/1/17,0
158,Oromia,Ilu Aba Bora,Halu,1/1/17,0
159,Oromia,Ilu Aba Bora,Hurumu,1/1/17,0
160,Oromia,Ilu Aba Bora,Metu Rural,1/1/17,0
161,Oromia,Ilu Aba Bora,Metu Town,1/1/17,3
162,Oromia,Ilu Aba Bora,Nono Sele,1/1/17,0
163,Oromia,Ilu Aba Bora,Yayu,1/1/17,0
164,Oromia,Jimma,Agaro,1/1/17,10
165,Oromia,Jimma,Chora Boter,1/1/17,4
166,Oromia,Jimma,Dedo,1/1/17,23
167,Oromia,Jimma,Gera,1/1/17,12
168,Oromia,Jimma,Gomma,1/1/17,20
169,Oromia,Jimma,Guma,1/1/17,22
170,Oromia,Jimma,Kersa,1/1/17,28
171,Oromia,Jimma,Limu Hospital,1/1/17,11
172,Oromia,Jimma,Limu Kosa,1/1/17,11
173,Oromia,Jimma,Limu Seka,1/1/17,30
174,Oromia,Jimma,Mana,1/1/17,19
175,Oromia,Jimma,Nono Benja,1/1/17,6
176,Oromia,Jimma,Omonada,1/1/17,24
177,Oromia,Jimma,Seka Chekorsa,1/1/17,18
178,Oromia,Jimma,Sekoru,1/1/17,44
179,Oromia,Jimma,Setema,1/1/17,51
180,Oromia,Jimma,Shabe,1/1/17,40
181,Oromia,Jimma,Sigmo,1/1/17,5
182,Oromia,Jimma,Tiro Afeta,1/1/17,15
183,Oromia,Jimma Spe Town,Jimma Spe Town,1/1/17,49
184,Oromia,Nekemte Town,Nekemte Town,1/1/17,8
185,Oromia,North Shewa,Aleiltu,1/1/17,7
186,Oromia,North Shewa,Debre Libanos,1/1/17,1
187,Oromia,North Shewa,Degem,1/1/17,23
188,Oromia,North Shewa,Dera hospital,1/1/17,14
189,Oromia,North Shewa,Fiche Hospital,1/1/17,19
190,Oromia,North Shewa,Fichetown,1/1/17,2
191,Oromia,North Shewa,Girar Jarso,1/1/17,42
192,Oromia,North Shewa,Hidabu Abote,1/1/17,1
193,Oromia,North Shewa,Jido,1/1/17,15
194,Oromia,North Shewa,Kimbibit,1/1/17,1
195,Oromia,North Shewa,Kuyu,1/1/17,19
196,Oromia,North Shewa,Kuyu Hospital,1/1/17,6
197,Oromia,North Shewa,Were Jarso,1/1/17,17
198,Oromia,North Shewa,Wuchale,1/1/17,41
199,Oromia,North Shewa,Yaya Gulele,1/1/17,1
200,Oromia,Qeleme Wellega,Anfilo,1/1/17,27
201,Oromia,Qeleme Wellega,Dale Sedi,1/1/17,1
202,Oromia,Qeleme Wellega,Dale Wabera,1/1/17,30
203,Oromia,Qeleme Wellega,Dambi Dollo,1/1/17,0
204,Oromia,Qeleme Wellega,Dambi Dolo Hospital,1/1/17,24
205,Oromia,Qeleme Wellega,Gawo Qebe,1/1/17,41
206,Oromia,Qeleme Wellega,Gidami,1/1/17,6
207,Oromia,Qeleme Wellega,Hawa Gelan,1/1/17,25
208,Oromia,Qeleme Wellega,Jimma Horo,1/1/17,2
209,Oromia,Qeleme Wellega,Laloqile,1/1/17,3
210,Oromia,Qeleme Wellega,Seyo,1/1/17,2
211,Oromia,Qeleme Wellega,Yemalogi Wolel,1/1/17,49
212,Oromia,Sebeta Town,Sebeta Town,1/1/17,2
213,Oromia,Shashamane Town,Shashamane Town,1/1/17,23
214,Oromia,South West Shewa,Ameya,1/1/17,8
215,Oromia,South West Shewa,Becho,1/1/17,0
216,Oromia,South West Shewa,Dawo,1/1/17,2
217,Oromia,South West Shewa,Goro,1/1/17,5
218,Oromia,South West Shewa,Ilu,1/1/17,0
219,Oromia,South West Shewa,Kersana Malima,1/1/17,9
220,Oromia,South West Shewa,Seden Sodo,1/1/17,6
221,Oromia,South West Shewa,Sodo Dac'Ha,1/1/17,1
222,Oromia,South West Shewa,St.Luke Hospital,1/1/17,20
223,Oromia,South West Shewa,Tole,1/1/17,3
224,Oromia,South West Shewa,Tulu Bolo Hospital,1/1/17,7
225,Oromia,South West Shewa,Woliso Rural,1/1/17,6
226,Oromia,South West Shewa,Woliso Town,1/1/17,7
227,Oromia,South West Shewa,Wonchi,1/1/17,1
228,Oromia,Sululta Town,Sululta Town,1/1/17,0
229,Oromia,West Arsi,Adaba,1/1/17,25
230,Oromia,West Arsi,Arsi Negele Rural,1/1/17,21
231,Oromia,West Arsi,Bishan Guracha Town,1/1/17,4
232,Oromia,West Arsi,Dodola Rural,1/1/17,17
233,Oromia,West Arsi,Dodola Town,1/1/17,10
234,Oromia,West Arsi,Gambo Hospital,1/1/17,18
235,Oromia,West Arsi,Gedeb Asasa,1/1/17,22
236,Oromia,West Arsi,Hebal Arsi,1/1/17,18
237,Oromia,West Arsi,Kofele,1/1/17,4
238,Oromia,West Arsi,Kokosa,1/1/17,9
239,Oromia,West Arsi,Kore,1/1/17,7
240,Oromia,West Arsi,Shala,1/1/17,197
241,Oromia,West Arsi,Shashemene Rural,1/1/17,320
242,Oromia,West Arsi,Siraro,1/1/17,208
243,Oromia,West Arsi,Wondo,1/1/17,38
244,Oromia,west Guji,Abaya,1/1/17,37
245,Oromia,west Guji,Biebirsa kojowa,1/1/17,19
246,Oromia,west Guji,Bule Hora hospital,1/1/17,12
247,Oromia,west Guji,Bule Hora Toun,1/1/17,8
248,Oromia,west Guji,Dugda Dawa,1/1/17,29
249,Oromia,west Guji,Gelana,1/1/17,27
250,Oromia,west Guji,Hanbala,1/1/17,30
251,Oromia,west Guji,kercha,1/1/17,75
252,Oromia,west Guji,Kercha hospital,1/1/17,4
253,Oromia,west Guji,Mkelka Soda,1/1/17,67
254,Oromia,west Guji,Suro barguda,1/1/17,16
255,Oromia,West Hararge,Anchar,1/1/17,35
256,Oromia,West Hararge,Bedesa Town,1/1/17,1
257,Oromia,West Hararge,Boke,1/1/17,72
258,Oromia,West Hararge,Burka Dimtu,1/1/17,20
259,Oromia,West Hararge,Chiro Hospital,1/1/17,11
260,Oromia,West Hararge,Chiro Town,1/1/17,0
261,Oromia,West Hararge,Chiro Zuriya,1/1/17,94
262,Oromia,West Hararge,Daro Lebu,1/1/17,17
263,Oromia,West Hararge,Doba,1/1/17,49
264,Oromia,West Hararge,Gelemso Hospital,1/1/17,4
265,Oromia,West Hararge,Gemechis,1/1/17,118
266,Oromia,West Hararge,Guba Qoricha,1/1/17,14
267,Oromia,West Hararge,Habro,1/1/17,32
268,Oromia,West Hararge,Hawi gudina,1/1/17,97
269,Oromia,West Hararge,Meiso,1/1/17,52
270,Oromia,West Hararge,Mesela,1/1/17,73
271,Oromia,West Hararge,Oda Bultum,1/1/17,90
272,Oromia,West Hararge,Tulo,1/1/17,51
273,Oromia,West Hararge,West Harerge	Gumbi Bordede,1/1/17,45
274,Oromia,West Shewa,Abuna Gindeberet,1/1/17,17
275,Oromia,West Shewa,Adea Berga,1/1/17,9
276,Oromia,West Shewa,Ambo,1/1/17,6
277,Oromia,West Shewa,Ambo Hospital,1/1/17,0
278,Oromia,West Shewa,Ambo Town,1/1/17,6
279,Oromia,West Shewa,Bako Tibe,1/1/17,85
280,Oromia,West Shewa,Chelia,1/1/17,7
281,Oromia,West Shewa,Codi,1/1/17,7
282,Oromia,West Shewa,Dano,1/1/17,0
283,Oromia,West Shewa,Dendi,1/1/17,8
284,Oromia,West Shewa,Ejerie,1/1/17,5
285,Oromia,West Shewa,Ejersa Lafo,1/1/17,3
286,Oromia,West Shewa,Elifata,1/1/17,0
287,Oromia,West Shewa,Gedo Hospital,1/1/17,17
288,Oromia,West Shewa,Ginde Beret,1/1/17,10
289,Oromia,West Shewa,Guder Hosp,1/1/17,0
290,Oromia,West Shewa,Ilu Galan,1/1/17,7
291,Oromia,West Shewa,Inchini Hospital,1/1/17,3
292,Oromia,West Shewa,Jeldu,1/1/17,12
293,Oromia,West Shewa,Jibat,1/1/17,0
294,Oromia,West Shewa,Liban Jawi,1/1/17,5
295,Oromia,West Shewa,Meta Waliqite,1/1/17,2
296,Oromia,West Shewa,Metarobi,1/1/17,14
297,Oromia,West Shewa,Midakegni,1/1/17,6
298,Oromia,West Shewa,Nono,1/1/17,32
299,Oromia,West Shewa,Tibe Kutaye,1/1/17,1
300,Oromia,West Shewa,Tikur Enchini,1/1/17,3
301,Oromia,West Wellega,Ayira,1/1/17,2
302,Oromia,West Wellega,Ayira Hospital,1/1/17,3
303,Oromia,West Wellega,Babo Gembel,1/1/17,0
304,Oromia,West Wellega,Begi,1/1/17,0
305,Oromia,West Wellega,Begi hospital,1/1/17,4
306,Oromia,West Wellega,Boji Cheqorsa,1/1/17,0
307,Oromia,West Wellega,Boji Dermeji,1/1/17,0
308,Oromia,West Wellega,Genji,1/1/17,3
309,Oromia,West Wellega,Gimbi,1/1/17,0
310,Oromia,West Wellega,Gimbi Adventist hospital,1/1/17,1
311,Oromia,West Wellega,Gimbi public  Hospital,1/1/17,5
312,Oromia,West Wellega,Gimbi Rural,1/1/17,1
313,Oromia,West Wellega,Guliso,1/1/17,0
314,Oromia,West Wellega,Haru,1/1/17,1
315,Oromia,West Wellega,Homa,1/1/17,0
316,Oromia,West Wellega,Jarso,1/1/17,0
317,Oromia,West Wellega,Kundala,1/1/17,10
318,Oromia,West Wellega,Lalo Asabi,1/1/17,2
319,Oromia,West Wellega,Lata Sibu,1/1/17,0
320,Oromia,West Wellega,Mendi Town,1/1/17,0
321,Oromia,West Wellega,Mene Sibu,1/1/17,0
322,Oromia,West Wellega,Nejo Hospital,1/1/17,8
323,Oromia,West Wellega,Nejo Rural,1/1/17,0
324,Oromia,West Wellega,Nejo Town,1/1/17,0
325,Oromia,West Wellega,Nole Kaba,1/1/17,1
326,Oromia,West Wellega,Qiltu Kara,1/1/17,0
327,Oromia,West Wellega,Seyo Nole,1/1/17,0
328,Oromia,West Wellega,Yubdo,1/1/17,0
329,Oromia,Assela Town,Assela Town,1/1/17,14
330,Oromia,Dukem Town,Dukem Town,1/1/17,0
331,Oromia,Arsi,Seru,1/1/17,10
332,Oromia,Bale,Agarfa,1/1/17,11
333,Oromia,Bale,Arena Buluq,1/1/17,49
334,Oromia,Bale,Berbere,1/1/17,37
335,Oromia,Bale,Dawe Qachen,1/1/17,9
336,Oromia,Bale,Dawe Serar,1/1/17,11
337,Oromia,Bale,Delo Mena,1/1/17,44
338,Oromia,Bale,Dinsho,1/1/17,2
339,Oromia,Bale,Gasera,1/1/17,3
340,Oromia,Bale,Ginir,1/1/17,31
341,Oromia,Bale,Ginir Town,1/1/17,6
342,Oromia,Bale,Goba,1/1/17,6
343,Oromia,Bale,Goba Town,1/1/17,10
344,Oromia,Bale,Gololcha,1/1/17,9
345,Oromia,Bale,Goro,1/1/17,63
346,Oromia,Bale,Gura Dhamole,1/1/17,5
347,Oromia,Bale,Legehida,1/1/17,28
348,Oromia,Bale,Meda Welabu,1/1/17,50
349,Oromia,Bale,Raitu,1/1/17,7
350,Oromia,Bale,Seweyna,1/1/17,77
351,Oromia,Bale,Sinana,1/1/17,4
352,Oromia,Guji,Aga Wayyu,1/1/17,29
353,Oromia,North Shewa,Abichugna,1/1/17,31
354,Oromia,North Shewa,Dera,1/1/17,59
355,Oromia,West Shewa,Gojo Hospital,1/1/17,1
356,Oromia,Lege Dadi Lege Tafo Town,Lege Dadi Lege Tafo Town,1/1/17,0
357,Oromia,West Arsi,Arsi Negele Town,1/1/17,0
358,Oromia,Arsi,Shenan kolu,1/1/17,0
359,Oromia,West Arsi,Nensebo,1/1/17,3
360,Oromia,West Shewa,Gindeberet Hospital,1/1/17,0
361,Oromia,Adama Special Town,Adama Town,2/1/17,18
362,Oromia,Arsi,Amigna,2/1/17,12
363,Oromia,Arsi,Aseko,2/1/17,4
364,Oromia,Arsi,Bale Gesgara,2/1/17,64
365,Oromia,Arsi,Bekoji Town,2/1/17,1
366,Oromia,Arsi,Chole,2/1/17,29
367,Oromia,Arsi,Deksis,2/1/17,12
368,Oromia,Arsi,Digeluna Tijo,2/1/17,9
369,Oromia,Arsi,Dodota,2/1/17,13
370,Oromia,Arsi,Enkelo Wabe,2/1/17,12
371,Oromia,Arsi,Gololcha,2/1/17,28
372,Oromia,Arsi,Guna,2/1/17,16
373,Oromia,Arsi,Hitosa,2/1/17,19
374,Oromia,Arsi,Jeju,2/1/17,48
375,Oromia,Arsi,Limuna Bilbilo,2/1/17,16
376,Oromia,Arsi,Ludehetosa,2/1/17,35
377,Oromia,Arsi,Merti,2/1/17,39
378,Oromia,Arsi,Munesa,2/1/17,14
379,Oromia,Arsi,Robe,2/1/17,49
380,Oromia,Arsi,Seru,2/1/17,7
381,Oromia,Arsi,Shenan kolu,2/1/17,3
382,Oromia,Arsi,Shirka,2/1/17,54
383,Oromia,Arsi,Sire,2/1/17,28
384,Oromia,Arsi,Sude,2/1/17,2
385,Oromia,Arsi,Tena,2/1/17,4
386,Oromia,Arsi,Tiyo,2/1/17,2
387,Oromia,Arsi,Zeway Dugda,2/1/17,31
388,Oromia,Assela Town,Assela Town,2/1/17,13
389,Oromia,Bale,Agarfa,2/1/17,22
390,Oromia,Bale,Arena Buluq,2/1/17,55
391,Oromia,Bale,Berbere,2/1/17,49
392,Oromia,Bale,Dawe Qachen,2/1/17,54
393,Oromia,Bale,Dawe Serar,2/1/17,11
394,Oromia,Bale,Delo Mena,2/1/17,94
395,Oromia,Bale,Dinsho,2/1/17,5
396,Oromia,Bale,Ginir,2/1/17,93
397,Oromia,Bale,Ginir Town,2/1/17,14
398,Oromia,Bale,Goba,2/1/17,2
399,Oromia,Bale,Goba Town,2/1/17,15
400,Oromia,Bale,Gololcha,2/1/17,15
401,Oromia,Bale,Goro,2/1/17,21
402,Oromia,Bale,Gura Dhamole,2/1/17,9
403,Oromia,Bale,Legehida,2/1/17,32
404,Oromia,Bale,Meda Welabu,2/1/17,54
405,Oromia,Bale,Raitu,2/1/17,23
406,Oromia,Bale,Robe Town,2/1/17,3
407,Oromia,Bale,Seweyna,2/1/17,83
408,Oromia,Bale,Sinana,2/1/17,15
409,Oromia,Bishoftu Town,Bishoftu Town,2/1/17,6
410,Oromia,Borena,Arero,2/1/17,57
411,Oromia,Borena,Dhas,2/1/17,11
412,Oromia,Borena,Dilo,2/1/17,11
413,Oromia,Borena,Dire,2/1/17,19
414,Oromia,Borena,Dubluk,2/1/17,17
415,Oromia,Borena,El way,2/1/17,34
416,Oromia,Borena,Gomole,2/1/17,16
417,Oromia,Borena,Guchi,2/1/17,22
418,Oromia,Borena,Meyo,2/1/17,13
419,Oromia,Borena,Moyale,2/1/17,57
420,Oromia,Borena,Moyale Hospital,2/1/17,8
421,Oromia,Borena,Teltele,2/1/17,33
422,Oromia,Borena,Wachile,2/1/17,1
423,Oromia,Borena,Yabelo,2/1/17,1
424,Oromia,Borena,Yabelo Hospital,2/1/17,11
425,Oromia,Borena,Yabelo Rural,2/1/17,14
426,Oromia,Buno Bedele,Bedele Town,2/1/17,0
427,Oromia,Buno Bedele,Bedele Zuriya,2/1/17,4
428,Oromia,Buno Bedele,Boricha,2/1/17,14
429,Oromia,Buno Bedele,Chewaqa,2/1/17,4
430,Oromia,Buno Bedele,Chora,2/1/17,0
431,Oromia,Buno Bedele,Dapho Hana,2/1/17,3
432,Oromia,Buno Bedele,Dedesa,2/1/17,10
433,Oromia,Buno Bedele,Diga,2/1/17,1
434,Oromia,Buno Bedele,Gechi,2/1/17,0
435,Oromia,Buno Bedele,Meko,2/1/17,1
436,Oromia,Burayu Town,Burayu Town,2/1/17,0
437,Oromia,Dukem Town,Dukem Town,2/1/17,0
438,Oromia,East Hararge,Aweday Town,2/1/17,6
439,Oromia,East Hararge,Babile,2/1/17,11
440,Oromia,East Hararge,Babile Woreda,2/1/17,1
441,Oromia,East Hararge,Bedeno,2/1/17,147
442,Oromia,East Hararge,Bisidimo Hospital,2/1/17,10
443,Oromia,East Hararge,Chelenko Hospital,2/1/17,2
444,Oromia,East Hararge,Chinakesen,2/1/17,56
445,Oromia,East Hararge,Deder,2/1/17,42
446,Oromia,East Hararge,Deder Hospital,2/1/17,15
447,Oromia,East Hararge,Deder Town,2/1/17,3
448,Oromia,East Hararge,Fedis,2/1/17,156
449,Oromia,East Hararge,Garemuleta Hospital,2/1/17,13
450,Oromia,East Hararge,Girawa,2/1/17,177
451,Oromia,East Hararge,Gole Oda,2/1/17,233
452,Oromia,East Hararge,Goro Gutu,2/1/17,76
453,Oromia,East Hararge,Gursum,2/1/17,65
454,Oromia,East Hararge,Haromaya Hospital,2/1/17,19
455,Oromia,East Hararge,Haromaya Rural,2/1/17,71
456,Oromia,East Hararge,Haromaya Town,2/1/17,0
457,Oromia,East Hararge,Jarso,2/1/17,84
458,Oromia,East Hararge,Kersa EH,2/1/17,62
459,Oromia,East Hararge,Kombolicha,2/1/17,5
460,Oromia,East Hararge,Kumbi,2/1/17,44
461,Oromia,East Hararge,Kurfa Chele,2/1/17,13
462,Oromia,East Hararge,Melka Belo,2/1/17,47
463,Oromia,East Hararge,Meta,2/1/17,39
464,Oromia,East Hararge,Meyu Muleke,2/1/17,72
465,Oromia,East Hararge,Midega Tole,2/1/17,71
466,Oromia,East Shewa,Adama,2/1/17,27
467,Oromia,East Shewa,Adami Tulu Jido Kombolcha,2/1/17,83
468,Oromia,East Shewa,Adea,2/1/17,1
469,Oromia,East Shewa,Batu,2/1/17,8
470,Oromia,East Shewa,Bora,2/1/17,33
471,Oromia,East Shewa,Boset,2/1/17,34
472,Oromia,East Shewa,Dugda,2/1/17,45
473,Oromia,East Shewa,Fentale,2/1/17,18
474,Oromia,East Shewa,Gimbichu,2/1/17,2
475,Oromia,East Shewa,Liben,2/1/17,0
476,Oromia,East Shewa,Lomme,2/1/17,3
477,Oromia,East Shewa,Matahara,2/1/17,6
478,Oromia,East Shewa,Mojo,2/1/17,0
479,Oromia,East Shewa,Olanciti Hospital,2/1/17,1
480,Oromia,East Wellega,Boneya Bushe,2/1/17,2
481,Oromia,East Wellega,Diga,2/1/17,7
482,Oromia,East Wellega,Ebantu,2/1/17,0
483,Oromia,East Wellega,Gida Ayana,2/1/17,2
484,Oromia,East Wellega,Gobu Seyo,2/1/17,0
485,Oromia,East Wellega,Gudeyabila,2/1/17,2
486,Oromia,East Wellega,Guto Gida,2/1/17,13
487,Oromia,East Wellega,Haro Limu,2/1/17,2
488,Oromia,East Wellega,Jimma Arjo,2/1/17,17
489,Oromia,East Wellega,Kiremu,2/1/17,2
490,Oromia,East Wellega,Leqa Dulecha,2/1/17,2
491,Oromia,East Wellega,Limu,2/1/17,4
492,Oromia,East Wellega,Nunu Qumba,2/1/17,0
493,Oromia,East Wellega,Sasiga,2/1/17,4
494,Oromia,East Wellega,Sibu Sire,2/1/17,4
495,Oromia,East Wellega,Wama Hagelo,2/1/17,2
496,Oromia,East Wellega,Wayu Tuqa,2/1/17,0
497,Oromia,Finfine Zuria,Akaki,2/1/17,0
498,Oromia,Finfine Zuria,Berreh,2/1/17,0
499,Oromia,Finfine Zuria,Holeta,2/1/17,1
