d3mIndex,RegionName,ZoneName,WoredaName,dateTime,Malnutrition_total_Cases
0,Oromia,Adama Special Town,Adama Town,1/1/17,32
1,Oromia,Arsi,Amigna,1/1/17,12
2,Oromia,Arsi,Aseko,1/1/17,12
3,Oromia,Arsi,Bale Gesgara,1/1/17,48
4,Oromia,Arsi,Bekoji Town,1/1/17,1
5,Oromia,Arsi,Chole,1/1/17,11
6,Oromia,Arsi,Deksis,1/1/17,8
7,Oromia,Arsi,Digeluna Tijo,1/1/17,7
8,Oromia,Arsi,Dodota,1/1/17,19
9,Oromia,Arsi,Enkelo Wabe,1/1/17,8
10,Oromia,Arsi,Gololcha,1/1/17,36
11,Oromia,Arsi,Guna,1/1/17,17
12,Oromia,Arsi,Hitosa,1/1/17,11
13,Oromia,Arsi,Jeju,1/1/17,23
14,Oromia,Arsi,Limuna Bilbilo,1/1/17,7
15,Oromia,Arsi,Ludehetosa,1/1/17,17
16,Oromia,Arsi,Merti,1/1/17,32
17,Oromia,Arsi,Munesa,1/1/17,6
18,Oromia,Arsi,Robe,1/1/17,21
19,Oromia,Arsi,Shirka,1/1/17,53
20,Oromia,Arsi,Sire,1/1/17,12
21,Oromia,Arsi,Sude,1/1/17,10
22,Oromia,Arsi,Tena,1/1/17,19
23,Oromia,Arsi,Tiyo,1/1/17,7
24,Oromia,Arsi,Zeway Dugda,1/1/17,81
25,Oromia,Bale,Robe Town,1/1/17,3
26,Oromia,Bishoftu Town,Bishoftu Town,1/1/17,3
27,Oromia,Borena,Arero,1/1/17,35
28,Oromia,Borena,Dhas,1/1/17,7
29,Oromia,Borena,Dilo,1/1/17,24
30,Oromia,Borena,Dire,1/1/17,1
31,Oromia,Borena,Dubluk,1/1/17,12
32,Oromia,Borena,El way,1/1/17,0
33,Oromia,Borena,Gomole,1/1/17,9
34,Oromia,Borena,Guchi,1/1/17,4
35,Oromia,Borena,Meyo,1/1/17,3
36,Oromia,Borena,Moyale,1/1/17,28
37,Oromia,Borena,Moyale Hospital,1/1/17,5
38,Oromia,Borena,Teltele,1/1/17,13
39,Oromia,Borena,Wachile,1/1/17,9
40,Oromia,Borena,Yabelo,1/1/17,1
41,Oromia,Borena,Yabelo Hospital,1/1/17,7
42,Oromia,Borena,Yabelo Rural,1/1/17,5
43,Oromia,Buno Bedele,Bedele Town,1/1/17,0
44,Oromia,Buno Bedele,Bedele Zuriya,1/1/17,10
45,Oromia,Buno Bedele,Boricha,1/1/17,15
46,Oromia,Buno Bedele,Chewaqa,1/1/17,16
47,Oromia,Buno Bedele,Chora,1/1/17,0
48,Oromia,Buno Bedele,Dapho Hana,1/1/17,0
49,Oromia,Buno Bedele,Dedesa,1/1/17,15
50,Oromia,Buno Bedele,Diga,1/1/17,3
51,Oromia,Buno Bedele,Gechi,1/1/17,0
52,Oromia,Buno Bedele,Meko,1/1/17,4
53,Oromia,Burayu Town,Burayu Town,1/1/17,1
54,Oromia,East Hararge,Aweday Town,1/1/17,12
55,Oromia,East Hararge,Babile,1/1/17,3
56,Oromia,East Hararge,Babile Woreda,1/1/17,13
57,Oromia,East Hararge,Bedeno,1/1/17,150
58,Oromia,East Hararge,Bisidimo Hospital,1/1/17,15
59,Oromia,East Hararge,Chelenko Hospital,1/1/17,0
60,Oromia,East Hararge,Chinakesen,1/1/17,49
61,Oromia,East Hararge,Deder,1/1/17,47
62,Oromia,East Hararge,Deder Hospital,1/1/17,14
63,Oromia,East Hararge,Deder Town,1/1/17,6
64,Oromia,East Hararge,Fedis,1/1/17,129
65,Oromia,East Hararge,Garemuleta Hospital,1/1/17,17
66,Oromia,East Hararge,Girawa,1/1/17,229
67,Oromia,East Hararge,Gole Oda,1/1/17,85
68,Oromia,East Hararge,Goro Gutu,1/1/17,58
69,Oromia,East Hararge,Gursum,1/1/17,98
70,Oromia,East Hararge,Haromaya Hospital,1/1/17,5
71,Oromia,East Hararge,Haromaya Rural,1/1/17,94
72,Oromia,East Hararge,Haromaya Town,1/1/17,8
73,Oromia,East Hararge,Jarso,1/1/17,57
74,Oromia,East Hararge,Kersa EH,1/1/17,67
75,Oromia,East Hararge,Kombolicha,1/1/17,0
76,Oromia,East Hararge,Kumbi,1/1/17,18
77,Oromia,East Hararge,Kurfa Chele,1/1/17,3
78,Oromia,East Hararge,Melka Belo,1/1/17,42
79,Oromia,East Hararge,Meta,1/1/17,30
80,Oromia,East Hararge,Meyu Muleke,1/1/17,55
81,Oromia,East Hararge,Midega Tole,1/1/17,65
82,Oromia,East Shewa,Adama,1/1/17,36
83,Oromia,East Shewa,Adami Tulu Jido Kombolcha,1/1/17,100
84,Oromia,East Shewa,Adea,1/1/17,4
85,Oromia,East Shewa,Batu,1/1/17,4
86,Oromia,East Shewa,Bora,1/1/17,15
87,Oromia,East Shewa,Boset,1/1/17,38
88,Oromia,East Shewa,Dugda,1/1/17,39
89,Oromia,East Shewa,Fentale,1/1/17,30
90,Oromia,East Shewa,Gimbichu,1/1/17,0
91,Oromia,East Shewa,Liben,1/1/17,31
92,Oromia,East Shewa,Lomme,1/1/17,9
93,Oromia,East Shewa,Matahara,1/1/17,6
94,Oromia,East Shewa,Mojo,1/1/17,0
95,Oromia,East Shewa,Olanciti Hospital,1/1/17,3
96,Oromia,East Wellega,Boneya Bushe,1/1/17,3
97,Oromia,East Wellega,Diga,1/1/17,14
98,Oromia,East Wellega,Ebantu,1/1/17,1
99,Oromia,East Wellega,Gida Ayana,1/1/17,9
100,Oromia,East Wellega,Gobu Seyo,1/1/17,5
101,Oromia,East Wellega,Gudeyabila,1/1/17,0
102,Oromia,East Wellega,Guto Gida,1/1/17,3
103,Oromia,East Wellega,Haro Limu,1/1/17,12
104,Oromia,East Wellega,Jimma Arjo,1/1/17,10
105,Oromia,East Wellega,Kiremu,1/1/17,6
106,Oromia,East Wellega,Leqa Dulecha,1/1/17,16
107,Oromia,East Wellega,Limu,1/1/17,8
108,Oromia,East Wellega,Nunu Qumba,1/1/17,4
109,Oromia,East Wellega,Sasiga,1/1/17,1
110,Oromia,East Wellega,Sibu Sire,1/1/17,5
111,Oromia,East Wellega,Wama Hagelo,1/1/17,0
112,Oromia,East Wellega,Wayu Tuqa,1/1/17,0
113,Oromia,Finfine Zuria,Akaki,1/1/17,1
114,Oromia,Finfine Zuria,Berreh,1/1/17,2
115,Oromia,Finfine Zuria,Holeta,1/1/17,3
116,Oromia,Finfine Zuria,Mullo,1/1/17,3
117,Oromia,Finfine Zuria,Sandefa,1/1/17,5
118,Oromia,Finfine Zuria,Sebeta Awas,1/1/17,1
119,Oromia,Finfine Zuria,Sululta Town,1/1/17,0
120,Oromia,Finfine Zuria,Walmera,1/1/17,3
121,Oromia,Gelan Town,Gelan Town,1/1/17,0
122,Oromia,Guji,Adola Hospital,1/1/17,20
123,Oromia,Guji,Adola Reda,1/1/17,59
124,Oromia,Guji,Adola Town,1/1/17,8
125,Oromia,Guji,Anna Sora,1/1/17,27
126,Oromia,Guji,Bore,1/1/17,44
127,Oromia,Guji,Dima,1/1/17,51
128,Oromia,Guji,Girja,1/1/17,19
129,Oromia,Guji,Goro Dola,1/1/17,26
130,Oromia,Guji,Gumi Eldallo,1/1/17,16
131,Oromia,Guji,Hambela Wamena,1/1/17,66
132,Oromia,Guji,Liben,1/1/17,81
133,Oromia,Guji,Negele Hospital,1/1/17,11
134,Oromia,Guji,Negele Town,1/1/17,5
135,Oromia,Guji,Odo Shakiso,1/1/17,16
